Latitude,Longitude,lighting_score,area,road_type
12.9716,77.5946,8.5,MG Road,Main Road
12.9720,77.5950,8.8,MG Road Metro,Main Road
12.9714,77.5944,8.2,MG Road Brigade,Main Road
12.9718,77.5948,8.6,MG Road Trinity,Main Road
12.9698,77.5984,8.4,Brigade Road,Main Road
12.9702,77.5988,8.7,Brigade Church Street,Main Road
12.9696,77.5982,7.8,Commercial Street,Main Road
12.9700,77.5986,8.3,Brigade Metro,Main Road
12.9766,77.5993,6.2,Majestic Bus Stand,Transit Hub
12.9771,77.5998,6.5,Majestic Area,Transit Hub
12.9768,77.6001,6.0,Kempegowda Bus Station,Transit Hub
12.9774,77.5995,6.3,Majestic Platform Road,Transit Hub
12.9765,77.5990,6.8,Majestic Metro,Transit Hub
12.9770,77.6003,5.9,Majestic Subway,Transit Hub
12.9772,77.5997,6.4,Majestic Circle,Transit Hub
12.9769,77.5992,6.1,Majestic Bus Terminal,Transit Hub
12.9940,77.5807,7.2,Shivajinagar,Commercial
12.9945,77.5812,7.5,Russell Market,Commercial
12.9938,77.5804,6.8,Shivajinagar Bus Stand,Commercial
12.9943,77.5809,7.0,Siddhartha Layout,Commercial
12.9942,77.5815,7.3,Shivajinagar Market,Commercial
12.9947,77.5805,7.1,Shivajinagar Main Road,Commercial
12.9939,77.5811,6.9,Russell Market Area,Commercial
12.9941,77.5808,7.4,Shivajinagar Circle,Commercial
12.9748,77.6006,6.5,City Market,Market Area
12.9745,77.6010,6.3,KR Market,Market Area
12.9750,77.6008,6.7,Krishnarajendra Market,Market Area
12.9747,77.6012,6.4,City Market Main Road,Market Area
12.9752,77.6005,6.6,KR Market Area,Market Area
12.9744,77.6009,6.2,City Market Circle,Market Area
12.9749,77.6011,6.8,Avenue Road Market,Market Area
12.9746,77.6007,6.1,Chikpet Area,Market Area
12.9687,77.5960,5.8,Kalasipalyam,Old Area
12.9690,77.5965,6.0,Kalasipalyam Bus Stand,Old Area
12.9685,77.5958,5.5,Kalasipalyam Market,Old Area
12.9692,77.5963,5.9,Kalasipalyam Main Road,Old Area
12.9688,77.5961,5.7,Kalasipalyam Circle,Old Area
12.9691,77.5967,6.1,Kalasipalyam Junction,Old Area
12.9689,77.5959,5.6,Kalasipalyam Area,Old Area
12.9986,77.7089,7.8,KR Puram,Suburban Main
12.9990,77.7095,8.0,KR Puram Railway Station,Suburban Main
12.9984,77.7092,7.5,Krishnarajapuram,Suburban Main
12.9988,77.7088,7.6,KR Puram Bus Stand,Suburban Main
12.9982,77.7091,7.7,KR Puram Main Road,Suburban Main
12.9987,77.7097,7.3,KR Puram Industrial Area,Industrial
12.9985,77.7090,7.9,Krishnarajapuram Junction,Suburban Main
12.9989,77.7094,7.4,KR Puram Market,Suburban Main
12.9505,77.5695,5.2,Goripalya,Old Residential
12.9508,77.5698,5.4,Goripalya Main Road,Old Residential
12.9503,77.5692,5.0,Goripalya Market,Old Residential
12.9510,77.5696,5.3,Goripalya Circle,Old Residential
12.9506,77.5694,5.1,Goripalya Junction,Old Residential
12.9507,77.5699,5.5,Goripalya Area,Old Residential
12.9504,77.5697,5.0,Goripalya Main,Old Residential
13.0365,77.5978,8.2,Yeshwanthpur,Transport Hub
13.0370,77.5982,8.5,Yeshwanthpur Railway Station,Transport Hub
13.0363,77.5975,8.0,Yeshwanthpur Junction,Transport Hub
13.0368,77.5980,8.3,Yeshwanthpur Metro,Transport Hub
13.0366,77.5976,7.9,Yeshwanthpur Industrial Area,Industrial
13.0372,77.5984,8.1,Yeshwanthpur Main Road,Transport Hub
13.0364,77.5979,8.4,Yeshwanthpur Market,Transport Hub
13.0830,77.5808,8.6,Hebbal,Main Road
13.0835,77.5812,8.9,Hebbal Flyover,Main Road
13.0828,77.5805,7.2,Hebbal Lake,Residential
13.0832,77.5810,7.8,Hebbal Industrial Area,Industrial
13.0837,77.5815,8.7,Hebbal Main Road,Main Road
13.0829,77.5807,7.5,Hebbal Circle,Main Road
13.0834,77.5809,7.6,Hebbal Market,Commercial
13.0204,77.5892,7.4,Peenya Industrial Area,Industrial
13.0208,77.5896,7.6,Peenya,Industrial
